yc,ys
0.233255441,1
0.458641507,1
0.930404472,1
0.89776715,1
0.606931624,1
0.484103911,1
0.509021761,1
0.460946148,1
0.541366786,1
0.535273709,1
0.470527661,1
0.672943402,1
0.700184819,1
0.471136095,1
0.408145812,1
0.478073223,1
0.834892652,1
0.371856794,1
0.780498535,1
0.666704352,1
0.510161833,1
0.590705504,1
0.481210857,1
0.473918325,1
0.550923413,1
0.396317861,1
0.352668256,1
0.638111067,1
0.374781556,1
0.547837612,1
0.605093122,1
0.498314197,1
0.464424516,1
0.544389614,1
0.893394339,1
0.107922747,1
0.678985368,1
0.488493958,1
0.446357556,1
0.497881844,1
0.691670483,1
0.496252936,1
0.746635214,1
0.447057644,1
0.316465306,1
0.367626895,1
0.770817408,1
0.488964737,1
0.421308761,1
0.531458194,1
